siren_clean,departement,commune_insee
180036147,92,
300007994,87,
300008059,85,
300008281,74,
300008778,93,
300008885,69,
300009016,62,
300009107,69,
300009586,71,
300010113,01,
300010220,25,
300010378,21,
300015609,41,
300015757,69,
300016003,36,
300022084,67,
300022142,68,
300022175,67,
300022597,59,
300022795,10,
300022902,34,
300023074,31,
300030327,49,
300030392,35,
300030426,49,
300030574,49,
300030616,49,
300030780,56,
300031002,49,
300031226,69,
300031366,49,
300031549,74,
300031622,71,
300031903,09,
300032109,09,
300032380,38,
300032539,31,
300037827,74,
300037926,81,
300038015,81,
300038106,81,
300038312,12,
300038585,31,
300038809,44,
300041373,17,
300045754,22,
300052974,41,
300054137,14,
300054152,18,
300054293,18,
300054483,16,
300056462,76,
300056538,57,
300068491,75,
300068681,77,
300069127,75,
300069192,93,
300069408,94,
300069861,77,
300069879,83,
300070166,42,
300070240,85,
300070356,67,
300071040,75,
300071115,92,
300071222,75,
300071594,93,
300071818,92,
300071891,75,
300072006,68,
300072105,75,
300072576,68,
300073160,34,
300073244,68,
300073491,11,
300088499,75,
300088747,75,
300088937,75,
300089174,59,
300089596,95,
300090248,77,
300090446,92,
300090453,94,
300090503,93,
300090545,93,
300090826,64,
300091071,75,
300091279,92,
300091451,95,
300091527,62,
300091675,91,
300091873,92,
300092012,92,
300092202,85,
300092251,59,
300092384,62,
300092889,35,
300094042,75,
300094190,79,
300094208,77,
300094349,75,
300094562,93,
300094778,78,
300094794,94,
300094984,75,
300095015,45,
300095114,78,
300095544,79,
300095692,19,
300095742,13,
300095783,95,
300096070,95,
300096385,78,
300108958,90,
300109311,29,
300109436,46,
300109485,35,
300109634,31,
300109808,33,
300109915,39,
300110285,40,
300110459,25,
300110558,21,
300110715,06,
300111218,83,
300115599,67,
300115615,68,
300115730,67,
300116035,93,
300124591,90,
300124609,87,
300125192,18,
300125424,25,
300125788,28,
300132651,60,
300132826,57,
300152527,91,
300152824,84,
300153368,80,
300153533,59,
300153566,79,
300153608,83,
300153681,69,
300153988,83,
300154002,84,
300154184,33,
300154200,67,
300154226,67,
300154275,64,
300154358,67,
300154374,57,
300154457,57,
300154655,58,
300155074,38,
300155207,33,
300155256,67,
300155363,57,
300155371,64,
300155603,13,
300155819,13,
300156254,13,
300156270,25,
300156437,76,
300157112,13,
300157328,10,
300157351,02,
300157500,06,
300157575,04,
300157682,07,
300163086,95,
300163334,83,
300163482,21,
300163755,83,
300163896,47,
300164035,47,
300164340,66,
300164381,33,
300164522,24,
300164704,2B,
300164761,2A,
300165073,13,
300165347,03,
300165487,24,
300165602,13,
300165651,24,
300166238,38,
300170644,59,
300170669,13,
300171295,44,
300171634,06,
300179348,57,
300179363,63,
300179546,31,
300180254,13,
300180494,68,
300180759,87,
300188232,80,
300188778,33,
300189461,10,
300189487,13,
300189495,47,
300197332,31,
300197399,88,
300203171,75,
300203379,75,
300203460,75,
300203700,95,
300203940,78,
300204179,78,
300204245,27,
300204443,94,
300204567,74,
300205168,35,
300205317,29,
300205416,22,
300205507,35,
300208543,78,
300208568,78,
300209038,64,
300209095,92,
300209129,31,
300209301,75,
300209525,75,
300209608,75,
300209715,44,
300210127,93,
300210184,41,
300210291,36,
300217544,77,
300217692,77,
300218013,78,
300218047,76,
300218468,75,
300218781,75,
300218815,94,
300219177,67,
300219276,57,
300219417,92,
300219607,93,
300219755,92,
300219789,45,
300219821,28,
300219847,29,
300219904,34,
300220233,39,
300220282,37,
300220357,39,
300220498,27,
300220985,77,
300221017,21,
300221066,39,
300221298,39,
300221728,14,
300226958,45,
300230729,75,
300230885,62,
300231313,69,
300231586,69,
300237633,66,
300237773,11,
300238060,80,
300242971,34,
300243128,73,
300243300,38,
300243458,11,
300245958,74,
300246931,06,
300247004,2B,
300254455,60,
300254471,27,
300265048,12,
300265253,09,
300265287,81,
300265303,81,
300265626,45,
300267119,46,
300267788,81,
300267796,31,
300267887,12,
300267986,12,
300268240,12,
300268448,31,
300268521,82,
300285285,34,
300285681,81,
300285764,82,
300285921,81,
300285939,81,
300286200,31,
300286341,31,
300286408,31,
300286432,81,
300286481,13,
300286630,45,
300287141,12,
300299138,81,
300299583,67,
300299765,49,
300299997,34,
300300027,34,
300300084,81,
300300290,66,
300300381,34,
300300399,34,
300300712,34,
300301371,11,
300301637,11,
300315173,79,
300315272,79,
300315611,86,
300316601,75,
300316833,30,
300317112,31,
300317203,31,
300317294,30,
300317773,30,
300317955,04,
300318300,13,
300318516,06,
300318920,11,
300319092,17,
300325560,67,
300325826,46,
300325917,68,
300325941,67,
300326089,34,
300326162,79,
300326220,31,
300326444,33,
300326915,30,
300326931,82,
300333283,68,
300333382,81,
300334331,34,
300334802,69,
300334810,34,
300334943,66,
300335163,30,
300335171,34,
300335783,11,
300335882,11,
300344280,94,
300344389,91,
300344587,31,
300344975,80,
300345196,77,
300346509,66,
300346533,67,
300346772,66,
300347085,76,
300348331,48,
300348539,52,
300348786,51,
300349248,59,
300349487,17,
300349636,69,
300352259,75,
300352770,53,
300352796,53,
300353505,17,
300353570,12,
300353679,91,
300357068,63,
300357621,22,
300357639,22,
300361011,93,
300361243,27,
300377215,75,
300377298,72,
300378445,49,
300378544,46,
300379450,01,
300379765,31,
300397577,81,
300397726,81,
300397759,81,
300398427,71,
300398880,57,
300398955,57,
300398989,67,
300399102,57,
300399169,57,
300399441,87,
300400207,87,
300400249,44,
300400736,87,
300401023,31,
300401619,19,
300401890,87,
300402153,87,
300411808,64,
300412822,36,
300413515,31,
300413739,21,
300419462,43,
300419702,45,
300419751,56,
300420312,36,
300420437,41,
300425907,87,
300426046,67,
300427242,69,
300427358,42,
300427382,34,
300427390,38,
300427531,34,
300427606,34,
300427788,38,
300427929,26,
300427937,26,
300428133,23,
300433315,69,
300433380,65,
300433935,71,
300434180,87,
300434339,01,
300434446,01,
300434487,07,
300458817,57,
300458841,67,
300459054,57,
300459120,56,
300460011,41,
300460284,38,
300460433,35,
300460557,55,
300460565,56,
300460706,29,
300461142,29,
300461662,84,
300461670,83,
300461787,84,
300461795,84,
300462249,84,
300462413,92,
300462470,25,
300462546,76,
300462686,13,
300462918,75,
300463528,13,
300463882,08,
300464252,06,
300465093,21,
300465135,21,
300474020,84,
300474079,93,
300474665,93,
